kepid,kepoi_name,kepler_name,koi_disposition,koi_prad,,,,,,,,,,,,,,,,,,,,,,,,
6849310,K00864.02,Kepler-244 d,CONFIRMED,2.69,,,,,,,,,,,,,,,,,,,,,,,,
6849310,K00864.03,Kepler-244 c,CONFIRMED,2.67,,,,,,,,,,,,,,,,,,,,,,,,
6862328,K00865.01,,CANDIDATE,8.98,,,,,,,,,,,,,,,,,,,,,,,,
9471974,K00119.02,Kepler-108 c,CONFIRMED,7.78,,,,,,,,,,,,,,,,,,,,,,,,
6862603,K00866.01,,FALSE POSITIVE,4.37,,,,,,,,,,,,,,,,,,,,,,,,
7366258,K00880.01,Kepler-82 b,CONFIRMED,3.91,,,,,,,,,,,,,,,,,,,,,,,,
7366258,K00880.02,Kepler-82 c,CONFIRMED,5.51,,,,,,,,,,,,,,,,,,,,,,,,
7366258,K00880.03,Kepler-82 e,CONFIRMED,2.43,,,,,,,,,,,,,,,,,,,,,,,,
7366258,K00880.04,Kepler-82 d,CONFIRMED,1.86,,,,,,,,,,,,,,,,,,,,,,,,
7373451,K00881.01,Kepler-712 b,CONFIRMED,3.07,,,,,,,,,,,,,,,,,,,,,,,,
6948054,K00869.04,Kepler-245 e,CONFIRMED,1.69,,,,,,,,,,,,,,,,,,,,,,,,
6949607,K00870.01,Kepler-28 b,CONFIRMED,1.73,,,,,,,,,,,,,,,,,,,,,,,,
6949607,K00870.02,Kepler-28 c,CONFIRMED,1.65,,,,,,,,,,,,,,,,,,,,,,,,
7031517,K00871.01,,CANDIDATE,22.94,,,,,,,,,,,,,,,,,,,,,,,,
11869052,K00120.01,,FALSE POSITIVE,2.41,,,,,,,,,,,,,,,,,,,,,,,,
7109675,K00872.01,Kepler-46 b,CONFIRMED,8.46,,,,,,,,,,,,,,,,,,,,,,,,
7109675,K00872.02,Kepler-46 d,CONFIRMED,1.97,,,,,,,,,,,,,,,,,,,,,,,,
7118364,K00873.01,Kepler-710 b,CONFIRMED,2.36,,,,,,,,,,,,,,,,,,,,,,,,
7134976,K00874.01,Kepler-246 b,CONFIRMED,2.35,,,,,,,,,,,,,,,,,,,,,,,,
7134976,K00874.02,Kepler-246 c,CONFIRMED,1.55,,,,,,,,,,,,,,,,,,,,,,,,
7135852,K00875.01,Kepler-1729 b,CONFIRMED,2.62,,,,,,,,,,,,,,,,,,,,,,,,
7270230,K00876.01,,FALSE POSITIVE,588.66,,,,,,,,,,,,,,,,,,,,,,,,
7287995,K00877.01,Kepler-81 b,CONFIRMED,2.33,,,,,,,,,,,,,,,,,,,,,,,,
7287995,K00877.02,Kepler-81 c,CONFIRMED,2.18,,,,,,,,,,,,,,,,,,,,,,,,
7287995,K00877.03,Kepler-81 d,CONFIRMED,1.42,,,,,,,,,,,,,,,,,,,,,,,,
3247396,K00121.01,,FALSE POSITIVE,63.66,,,,,,,,,,,,,,,,,,,,,,,,
7303253,K00878.01,Kepler-711 b,CONFIRMED,3.16,,,,,,,,,,,,,,,,,,,,,,,,
5094751,K00123.01,Kepler-109 b,CONFIRMED,2.54,,,,,,,,,,,,,,,,,,,,,,,,
7678434,K00892.01,Kepler-716 b,CONFIRMED,3.2,,,,,,,,,,,,,,,,,,,,,,,,
